Id,Short Description,Product_link,Description,Product Name,Product Brand,Outfit Name,Outfit Description,Outfit Image,Movie/Show,Series name,Series No,Episode,Celebrity Name,Character Name,Celebrity Image,Celebrity Type,Image1,Image2,Media,Buy,Extra_description,Source,Key works,In House,In House Price,Why we Like it,Who will this suit,Region,Year ,Video,Exact Image,Exact Store,Exact Price,Exact BuyLink,Similar Image,Similar Store,Similar Price,Similar BuyLink
90708,,https://wornontv.net/69102/,Max Black (played by Kat Dennings) on 2 Broke Girls on CBS was spotted wearing this Be Yourself Everyon Else is Already Taken tee on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x21) in Apr 2017. Max's Top is the Destroyed Be Yourself Tee by. ,Max’s Be Yourself Everyon Else is Already Taken tee on 2 Broke Girls,,Top,Destroyed Be Yourself Tee by,https://uploads.wornontv.net/2017/04/FOREVER-21-Destroyed-Be-Yourself-Tee-max-2-broke-girls.jpg,2-broke-girls,And The Rock Me On The Dais,6,21,Kat Dennings,Max Black,https://uploads.wornontv.net/2017/04/max-be-yourself-everyone-else-is-taken-tee.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Max Black, Kat Dennings, 2 Broke Girls: Season 6 Episode 21, Forever 21, ",,,,,,,,https://wornontv.net/dottv/assets/products/Destroyed-Be-Yourself-Tee-69102-43148.jpg,Forever 21,no longer available,,,,,
49086,,https://wornontv.net/67823/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this pink keyhole fit and flare dress on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x20) in Mar 2017. Caroline's Dress is the Scout Dress by Elizabeth and James. ,Caroline’s pink keyhole fit and flare dress on 2 Broke Girls,,Dress,Scout Dress by Elizabeth and James,https://uploads.wornontv.net/2017/03/elizabeth-james-scout-dress-pink-caroline-2-broke-girls.jpg,2-broke-girls,And the Alley-Oops,6,20,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/03/carolines-pink-fit-flare-keyhole-dress.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 20, Elizabeth and James, ",,,,,,,,https://wornontv.net/dottv/assets/products/Elizabeth-and-James---Scout-Fit-And-Flare-Dress-67823-42485.jpg,Saks Off 5th,no longer available,,,,,
63695,,https://wornontv.net/60511/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this white off-shoulder dress on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x01) in Mar 2017. Caroline's Dress is the Carisi Dress by Alice + Olivia. ,Caroline’s white off-shoulder dress on 2 Broke Girls,,Dress,Carisi Dress by Alice + Olivia,https://uploads.wornontv.net/2016/10/alice-olivia-carisi-dress-caroline-2-broke-girls.jpg,2-broke-girls,And The Two Openings,6,01,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2016/10/carolines-white-off-shoulder-dress.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 1, 2 Broke Girls: Season 6 Episode 19, Alice + Olivia, ",,,,,,,,https://wornontv.net/dottv/assets/products/Alice---Olivia---Carisi-off-the-shoulder-stretch-jersey-mini-dress-60511-38569.jpg,Net A Porter,$275,https://www.net-a-porter.com/us/en/product/701623,,,,
92627,,https://wornontv.net/65861/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this beige cutout sweater on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x16) in Feb 2017. Caroline's Sweater is the Fallon Sweater by LNA. ,Caroline’s beige cutout sweater on 2 Broke Girls,,Sweater,Fallon Sweater by LNA,https://uploads.wornontv.net/2017/02/lna-fallon-sweater-buff-caroline-2-broke-girls.jpg,2-broke-girls,And the Tease Time,6,16,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/02/carolines-pink-cutout-sweater.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 16, LNA, ",,,,,,,,https://wornontv.net/dottv/assets/products/LNA-Fallon-Sweater-65861-41591.jpg,Bloomingdales,$110,http://www1.bloomingdales.com/shop/product/lna-fallon-sweater?ID=2181912,,,,
17911,,https://wornontv.net/65490/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this white and beige lace dress on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x15) in Feb 2017. Caroline's Dress is the Lace Dress by Sandro. ,Caroline’s white and beige lace dress on 2 Broke Girls,,Dress,Lace Dress by Sandro,https://uploads.wornontv.net/2017/02/sandro-lace-dress-caroline-2-broke-girls.jpg,2-broke-girls,And the Turtle Sense,6,15,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/02/carolinest-white-beige-lace-dress.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 15, Sandro, ",,,,,,,,https://wornontv.net/dottv/assets/products/Lace-Dress-65490-41394.jpg,Sandro,$495,3;url=http://us.sandro-paris.com/en/womens/dresses/lace-dress/3607171030569.html,,,,
73335,,https://wornontv.net/65502/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this beige sleeveless cowl neck top on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x15) in Feb 2017. Caroline's Top is the Sharry Sleeveless Turtleneck Pullover by Alice + Olivia. ,Caroline’s beige sleeveless cowl neck top on 2 Broke Girls,,Top,Sharry Sleeveless Turtleneck Pullover by Alice + Olivia,https://uploads.wornontv.net/2017/02/alice-olivia-sharry-sleeveless-turlteneck-caroline-2-broke-girls.jpg,2-broke-girls,And the Turtle Sense,6,15,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/02/carolines-beige-sleeveless-cowl-neck-top.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 15, Alice + Olivia, ",,,,,,,,https://wornontv.net/dottv/assets/products/Alice---Olivia-Sharry-Sleeveless-Turtleneck-Pullover--Cream-65502-41401.jpg,Neiman Marcus,$220,http://www.neimanmarcus.com/Alice-Olivia-Sharry-Sleeveless-Turtleneck-Pullover-Cream/prod192780062/p.prod,,,,
64552,,https://wornontv.net/64734/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this sleeveless turtleneck top and pleated skirt on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x14) in Jan 2017. Caroline's Skirt is the Lee Pleated Skirt in Tan by Alice + Olivia . ,Caroline’s sleeveless turtleneck top and pleated skirt on 2 Broke Girls,,Skirt,Lee Pleated Skirt in Tan by Alice + Olivia,https://uploads.wornontv.net/2017/01/Alice-Olivia-Lee-Pleated-Skirt-caroline-2-broke-girls.jpg,2-broke-girls,And the Emergency Contractor,6,14,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/01/carolines-sleeveless-turtleneck-pleated-skirt.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 14, Alice + Olivia, ",,,,,,,,https://wornontv.net/dottv/assets/products/Alice---Olivia--Lee--Pleat-Suede-Skirt-60517-38573.jpg,Nordstrom,$898,http://shop.nordstrom.com/s/alice-olivia-lee-pleat-suede-skirt/4372915?fashionColor=TAN,https://wornontv.net/dottv/assets/products/Suede-Shoulder-Top-64734-40969.jpg,Ralph Lauren,$69.99,http://www.ralphlauren.com/product/index.jsp?productId=98039046
48961,,https://wornontv.net/64731/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this black and white dress with asymmetrical straps on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x14) in Jan 2017. ,Caroline’s black and white dress with asymmetrical straps on 2 Broke Girls,,,,,2-broke-girls,And the Emergency Contractor,6,14,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/01/carolines-black-white-asymmetric-strap-dress.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 14, ",,,,,,,,,,,,https://wornontv.net/dottv/assets/products/Elizabeth-and-James-Marie-One-Shoulder-Dress-64731-40965.jpg,Nordstrom,$385,http://shop.nordstrom.com/s/elizabeth-and-james-marie-one-shoulder-dress/4477300
10675,,https://wornontv.net/64728/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this off-white sweater with silver collar on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x14) in Jan 2017. Caroline's Sweater is the Era Embellished Collar Sweater by Alice + Olivia . ,Caroline’s off-white sweater with silver collar on 2 Broke Girls,,Sweater,Era Embellished Collar Sweater by Alice + Olivia,https://uploads.wornontv.net/2017/01/alice-olivia-era-embellished-collar-sweater-caroline-2-broke-girls.jpg,2-broke-girls,And the Emergency Contractor,6,14,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/01/carolines-white-sweater-embellished-collar.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 14, Alice + Olivia, ",,,,,,,,https://wornontv.net/dottv/assets/products/Alice---Olivia-Era-Embellished-Collar-Puff-Sleeve-Sweater--Cream-64728-40962.jpg,Neiman Marcus,$396,http://www.neimanmarcus.com/Alice-Olivia-Era-Embellished-Collar-Puff-Sleeve-Sweater-Cream/prod192700160/p.prod,,,,
62992,,https://wornontv.net/64385/,Caroline Channing (played by Beth Behrs) on 2 Broke Girls on CBS was spotted wearing this nude ruffled blouse on 2 Broke Girls on episode &amp;#039;&amp;#039; (6x13) in Jan 2017. Caroline's Top is the Sleeveless Pintucked &amp; Ruffled Tie-Neck Silk Blouse by . Caroline's Jacket is the Vegan Leather Hooded Motorcycle Jacket in Light Grey by Free People . Caroline's Bag is the Matelassé Leather Satchel by Miu Miu. ,Caroline’s nude ruffled blouse on 2 Broke Girls,,Top,Sleeveless Pintucked & Ruffled Tie-Neck Silk Blouse by,https://uploads.wornontv.net/2017/01/red-valentino-Sleeveless-Pintucked-Ruffled-Tie-Neck-Silk-Blouse-caroline-2-broke-girls.jpg,2-broke-girls,And the Stalking Dead,6,13,Beth Behrs,Caroline Channing,https://uploads.wornontv.net/2017/01/carolines-blush-tie-neck-blouse.jpg,Mainstream,,,,,,WornOnTv,"2 Broke Girls, Caroline Channing, Beth Behrs, 2 Broke Girls: Season 6 Episode 13, Free People, Miu Miu, RED Valentino, ",,,,,,,,https://wornontv.net/dottv/assets/products/Vegan-Leather-Hooded-Motorcycle-Jacket-41023-23173.jpg,Free People,$168,http://www.freepeople.com/Vegan-Leather-Hooded-Motorcycle-Jacket?productOptionIDs=3EAEB383-8755-414F-9834-D356F32B8065,,,,
